system:index,ET_mm,NDVI,P_mm,SM,T2m_C,date_str,station_id,.geo
7_00000000000000000006,0.0,0.6329738440616501,89.52581568533793,0.439628773997939,13.326465773387943,2010-08-01,A106 Po a Crissolo,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000007,0.0,0.6475592774308654,78.97683507560303,0.38682308418212685,20.550244314855618,2010-08-01,A107 Po a Carignano,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000008,0.0,0.6569686886708299,97.05491453063586,0.2909515408082906,21.13016737462369,2010-08-01,A141 Scrivia a Serravalle,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000009,0.0,0.7926688488576451,98.73625962135033,0.2990834616609114,13.039321400620631,2010-08-01,A146 Sesia a Campertogno,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000000,0.0,0.5418711659192825,36.38558656837908,0.2728869929976528,17.968048068333125,2010-09-01,A017 Bormida a Cassine (Caranzano),"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000001,0.0,0.56705625,65.10744966534402,0.31062751879795,7.799004907402227,2010-09-01,A038 Chisone a Soucherres Basses,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000002,0.0,0.6704833785004516,34.053639993435,0.41127710247642835,13.937513993426089,2010-09-01,A040 Chisone a S. Martino,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000003,0.0,0.6490178825622775,67.42085474156823,0.26188276840698665,11.820901869370015,2010-09-01,A049 Dora Baltea a Tavagnasco,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000004,0.0,0.6066959255978743,56.722362112851144,0.2716940515753017,7.4698379611209,2010-09-01,A057 Dora Riparia a Ulzio (Oulx),"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000005,0.0,0.7295404226618706,78.03569419778509,0.32874384543878576,13.378529764079385,2010-09-01,A073 Grana a Monterosso,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000006,0.0,0.5152698096101541,69.8471603082292,0.43473539240016573,9.562405719221038,2010-09-01,A106 Po a Crissolo,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000007,0.0,0.46610031222123116,31.30852183223728,0.38119704206536437,16.577859374564447,2010-09-01,A107 Po a Carignano,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000008,0.0,0.6070409455842998,58.05818398481603,0.3121800826767744,17.63526835650022,2010-09-01,A141 Scrivia a Serravalle,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000009,0.0,0.6765844903339192,149.78450069863263,0.28312771601081943,9.685488156819828,2010-09-01,A146 Sesia a Campertogno,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000000,0.0,0.5315505829596414,123.25215790068623,0.35269953295788964,11.380472964983909,2010-10-01,A017 Bormida a Cassine (Caranzano),"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000001,0.0,0.3652113309352518,89.64793159292756,0.3583371279050978,2.2225888917772263,2010-10-01,A038 Chisone a Soucherres Basses,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000002,0.0,0.6436253839205057,93.47432279371417,0.43499072177407966,7.907688036800637,2010-10-01,A040 Chisone a S. Martino,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000003,0.0,0.592196619217082,101.31086823269989,0.2850457866845182,6.452981947495018,2010-10-01,A049 Dora Baltea a Tavagnasco,"{""type"":""MultiPoint"",""coordinates"":[]}"
